index,City,Articles,Tweets,CummulativeCases,GDP
0,patna,254,5345,84944,30
1,ahmedabad,201,7530,153711,80
2,delhi,201,148768,711169,210
3,mumbai,192,105133,194110,240
4,hyderabad,187,43459,-1,-1
5,jaipur,165,11125,118113,15
6,pune,136,23814,377113,40
7,kolkata,132,19520,153875,150
8,chandigarh,117,9604,29581,4.3
9,nagpur,115,4805,212044,18
10,lucknow,103,10523,134585,7.8
11,dehradun,98,2403,74156,7.1
12,goa,85,5360,-1,-1
13,nashik,65,1192,168396,15
14,allahabad,64,1136,-1,-1
15,visakhapatnam,55,1600,72318,43.5
16,kanpur,53,2100,-1,-1
17,surat,47,3888,67183,40
18,varanasi,44,2927,54814,3.8
19,aurangabad,43,1138,141068,13.05
20,rajkot,43,806,25973,-1
21,vijayawada,42,1609,-1,-1
22,bhopal,40,3380,63293,16.8
23,vadodara,40,1866,36444,-1
24,coimbatore,38,2905,104428,45
25,agra,35,1056,14166,8
26,kochi,33,1426,-1,-1
27,ludhiana,32,1493,45451,6.8
28,meerut,31,963,44620,-1
29,bareilly,26,746,27792,-1
30,kolhapur,26,336,59118,6.1
31,bengaluru,24,45651,-1,-1
32,chennai,21,34580,238801,86
33,madurai,17,1137,41394,-1
34,thiruvananthapuram,14,731,136894,13.1
35,trichy,13,0,-1,-1
36,gurgaon,10,25060,-1,-1
37,jodhpur,10,1347,61765,40
38,ranchi,9,2101,43135,-1
39,amaravati,7,0,-1,-1
40,ajmer,6,389,18442,0.5
41,thane,6,1802,161555,-1
42,navi-mumbai,6,429,-1,-1
43,noida,5,12203,-1,-1
44,shimla,4,1342,12245,0.5
45,amritsar,4,779,20598,-1
46,udaipur,4,1122,39371,30
